Kanji	Keyword	KeywordWK	ElementsTree	Elements
一	one	One	one	One
二	two	Two	two	two
三	three	Three	three	three
四	four	Four	o(pent in, human legs)	four, pent in, human legs
五	five	Five	five	five
六	six	Six	t(top hat, animal legs)	six, top hat, animal legs
七	seven	Seven	seven	seven, diced
八	eight	Eight	eight	eight
九	nine	Nine	nine	nine, baseball
十	ten	Ten	ten	ten, needle
口	mouth	Mouth	mouth	mouth
日	sun, day	Sun	sun	day, sun
月	month	Moon	month	month, moon, month, flesh, part of the body
田	rice field	Rice Paddy	rice field	rice field, brains
目	eye	Eye	eye	eye
古	old	Old	t(ten, mouth)	old, tombstone, gravestone, church, ten, needle, mouth
吾	I	I	t(five, mouth)	I, five, mouth
冒	risk	Dare	t(sun, eye)	risk, sun, day, eye
朋	companion		l(month, month)	companion, moon2, moon, month2, month, flesh2, flesh, part of the body2, part of the body
明	bright	Bright	l(sun, month)	bright, sun, day, moon, month, flesh, part of the body
唱	chant	Chant	l(mouth, t(sun, sun))	chant, mouth, prosperous, sun, day, tongue wagging, wagging tongue, sun2, day2, tongue wagging2
晶	sparkle	Crystal	t(sun, l(sun, sun))	sparkle, day, sun, day3, sun3
品	goods	Product	t(mouth, l(mouth, mouth))	goods, mouth, mouth3, three mouths
呂	spine	Bath	t(mouth, drop, mouth)	spine, mouth, drop, mouth2
昌	prosperous	Prosperous	t(sun, sun)	prosperous, sun, day, sun2, day2
早	early	Early	t(sun, ten)	early, sunflower, sun, day, ten, needle
旭	rising sun		l(nine, sun)	rising sun, nine, baseball, sun, day
世	generation	World	generation	generation, generations, ten, twenty
胃	stomach	Stomach	t(rice field, month)	stomach, rice field, brains, moon, month, flesh, part of the body
旦	nightbreak	Dawn	t(day, floor)	nightbreak, sun, day, one, floor
胆	gall bladder	Guts	l(month, t(day, floor))	gallbladder, moon, month, flesh, part of the body, nightbreak, sun, day, one, floor
亘	span		t(ceiling, nightbreak)	span, one, ceiling, sun, day, one, floor
凹	concave	Concave	concave	concave
凸	convex	Convex	convex	convex
旧	olden times	Former	l(stick, sun)	olden times, stick, sun, day
自	oneself	Self	t(drop, eye)	oneself, drop, eye
白	white	White	t(drop, sun)	white, drop, sun, day
百	hundred	Hundred	t(ceiling, white)	hundred, one, ceiling, white, dove
中	in	Middle	o(mouth, stick)	in, inx, stick, mouth
千	thousand	Thousand	t(drop, ten)	thousand, one thousand, drop, ten, needle
舌	tongue	Tongue	t(thousand, mouth)	tongue, thousand, drop, ten, needle, mouth
升	measuring box	Grid	l(thousand, ten)	measuring box, thousand, drop, ten, needle
昇	rise up	Ascend	t(sun, measuring box)	rise up, sun, day, measuring box, thousand, drop, ten, needle
丸	round	Circle	l(drop, nine)	round, drop, nine, baseball
寸	measurement	Measurement	measurement	measurement, glue, drop, ten with a hook
肘	elbow		l(month, measurement)	elbow, moon, month, flesh, part of the body, glue
専	specialty	Specialty	t(ten, rice field, measurement)	specialty, ten, needle, rice field, brains, glue
博	Dr.	Exhibition	l(ten, specialty)	Dr., ten, needle, acupuncturist, specialty, drop, ten, needle, rice field, brains, glue
占	fortune-telling	Fortune	t(magic wand, mouth)	fortune-telling, fortunetelling, magic wand, wand, augury, divining rod, mouth
上	above	Above	t(magic wand, floor)	above, magic wand, wand, augury, divining rod, one, floor
下	below	Below	t(ceiling, magic wand)	below, one, ceiling, magic wand, wand, augury, divining rod
卓	eminent	Table	t(magic wand, sun, ten)	eminent, magic wand, augury, divinging rod, sunflower, sun, day, ten, needle
朝	morning	Morning	l(t(ten, sun, ten), month)	morning, mist, ten, needle, early, sun, day, moon, month, flesh, part of the body, ten2, needle2
嘲	derision		l(mouth, morning)	derision, mouth, morning , mist, ten, needle, early, sun, day, moon, month, flesh, part of the body, ten2, needle2
只	only		t(mouth, animal legs)	only, mouth, animal legs, eight
貝	shellfish	Shellfish	t(eye, animal legs)	shellfish, shell, clam, oyster, eye, animal legs, eight
唄	pop song	Shamisen Song	l(mouth, shellfish)	pop song, mouth, shellfish, shell, clam, oyster, eye, animal legs, eight
貞	upright	Chastity	t(magic wand, shellfish)	upright, magic wand, augury, divining rod, shellfish, shell, clam, oyster, eye, animal legs, eight
員	employee	Member	t(mouth, shellfish)	employee, mouth, shellfish, shell, clam, oyster, eye, animal legs, eight
貼	post a bill	Paste	l(shellfish, fortune-telling)	affix, shellfish, shell, clam, oyster, eye, animal legs, eight, fortune-telling, magic wand, augury, mouth
見	see	See	t(eye, human legs)	see, eye, human legs
児	newborn babe	Child	t(l(stick, sun), human legs)	newborn babe, olden times, stick, sun, day, human legs
元	beginning	Origin	t(two, human legs)	beginning, two, human legs
頁	page		t(ceiling, drop, shellfish)	page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
